id	l1_token	l1_semtag	l1_postag	l2_token	l2_semtag	l2_postag
75/0910	La reine Elizabeth I est morte en 1603 .	UNK ROL PER EPS UNK REL REL YOC NIL	DET NOUN NOUN ADJ AUX VERB ADP NUM PUNCT	La regina Elisabetta~I morì nel 1603 .	DEF ROL PER EPS DEF YOC NIL	DET NOUN PROPN VERB ADP NUM PUNCT
79/0760	Marlowe a été arreté par les autorités italiennes .	PER UNK PST EXS REL UNK GPO ROL NIL	PROPN AUX AUX VERB ADP DET NOUN ADJ PUNCT	ø Marlowe fu arrestato dalle autorità italiane .	DEF PER PST EXS DEF ROL GPO NIL	ADV PROPN AUX VERB ADP NOUN ADJ PUNCT
79/0763				ø Gianni~Versace è uno stilista .	DEF PER ENS DIS ROL NIL	ADV PROPN AUX DET NOUN PUNCT
79/0767	Personne ne me comprend .	NOT ENS ENS PRO NIL	PRON ADV PRON VERB PUNCT	Nessuno mi capisce .	NOT PRO ENS NIL	PRON PRON VERB PUNCT
81/0711				ø Reinventing~Comics è un libro di ø Scott~McCloud .	DEF ART ENS DIS CON REL DEF PER NIL	ADP PROPN AUX DET NOUN ADP NOUN PROPN PUNCT
82/0716				ø Johann~Wolfgang~von~Goethe nacque in ø Germania .	DEF PER EPS REL DEF GPE NIL	PROPN PROPN PROPN PROPN VERB ADP PROPN PROPN PUNCT
82/1991	Le chirurgien a amputé la mauvaise jambe .	DEF ROL UNK EPS DEF IST CON NIL	DET NOUN AUX VERB DET ADJ NOUN PUNCT	Il chirurgo amputò la gamba sbagliata .	DEF ROL EPS DEF CON IST NIL	DET NOUN PROPN DET NOUN ADJ PUNCT
82/2388	Le vin était exellent .	DEF CON PST IST NIL	DET NOUN AUX ADJ PUNCT	Il vino era eccellente .	DEF CON PST IST NIL	DET NOUN AUX ADJ PUNCT
83/0814				Mia madre è bella .	HAS ROL NOW IST NIL	PROPN NOUN AUX ADJ PUNCT
83/2406				Noi capiamo .	PRO ENS NIL	PRON VERB PUNCT
85/0712	Manchester~United a battu Fulham .	ORG UNK EPS ORG NIL	PROPN PROPN PROPN AUX VERB PROPN PUNCT	Il Manchester~United sconfisse il Fulham .	DEF ORG EPS DEF ORG NIL	DET PROPN VERB DET PROPN PUNCT
85/0825	L' école commence à 8h30 .	UNK CON ENS CLO REL CLO	NOUN PUNCT NOUN VERB ADP NOUN PUNCT	La scuola inizia alle ø 8:30 .	DEF CON ENS REL DEF CLO NIL	DET NOUN VERB ADP PROPN NUM PUNCT
85/0889	Je m' appelle Antonio .	PRO EQU EQU PER NIL	PRON VERB PUNCT VERB PROPN PUNCT	Io sono ø Antonio .	PRO EQU DEF PER NIL	PRON AUX ADP PROPN PUNCT
85/0893	Un docteur a examiné M. Brown .	DIS ROL UNK EPS ROL PER NIL	DET NOUN AUX VERB NOUN PROPN PUNCT	Un dottore esaminò il signor Brown .	DIS ROL EPS DEF ROL PER NIL	DET NOUN VERB DET NOUN PROPN PUNCT
85/0940				ø Tom è forte .	DEF PER NOW IST NIL	ADV PROPN AUX ADJ PUNCT
86/0717	BSN a acheté RJR~Nabisco .	ORG UNK EPS ORG NIL	PROPN AUX VERB NOUN PROPN PROPN PUNCT	ø BSN comprò la RJR~Nabisco .	DEF ORG EPS DEF ORG NIL	ADV PROPN VERB DET PROPN PUNCT
86/0915	Il a bu une bière .	PRO UNK EPS DIS CON NIL	PRON AUX VERB DET NOUN PUNCT	Lui bevette una birra .	PRO EPS DIS CON NIL	PRON VERB DET NOUN PUNCT
86/2287				La torta è deliziosa .	DEF CON NOW IST NIL	DET NOUN AUX ADJ PUNCT
87/0715	Qin~Shi~Huang était le premier empereur de Chine .	PER EPS DEF ORD REL ROL GPE NIL	PROPN PROPN PROPN PROPN PROPN AUX DET ADJ NOUN ADP PROPN PUNCT	ø Qin~Shi~Huang fu il primo Imperatore del la Cina .	DEF PER EPS DEF ORD ROL REL DEF GPE NIL	ADV NOUN AUX DET ADJ NOUN ADP DET PROPN PUNCT
87/0760	M. Zhao est mort à Pékin .	ROL PER UNK EPS REL GPE NIL	NOUN PROPN AUX VERB ADP PROPN PUNCT	Il signor Zhao è morto a ø Pechino .	DEF ROL PER NOW EXT REL DEF GPE NIL	DET NOUN PROPN AUX VERB ADP NOUN PROPN PUNCT
87/0763				ø Gabriel~Garcia~Marquez è uno scrittore .	DEF PER ENS DIS ROL NIL	ADV PROPN AUX DET NOUN PUNCT
92/0712	Nancy~Ianiero a été tuée à Mexico .	PER UNK PST EXS REL GPE NIL	PROPN PROPN PROPN AUX AUX VERB ADP PROPN PUNCT	ø Nancy~Ianiero fu uccisa in ø Mexico .	DEF PER PST EXS REL DEF GPE NIL	ADV PROPN AUX VERB ADP NOUN PROPN PUNCT
92/0764				ø Verdens~Gang è un quotidiano norvegese .	DEF ORG ENS DIS CON GPO NIL	NOUN NOUN AUX DET NOUN ADJ PUNCT
93/1391	Qui a inventé la radio ?	QUE UNK EPS DEF CON QUE	PRON AUX VERB DET NOUN PUNCT	Chi ha inventato la radio ?	QUE NOW EXT DEF CON QUE	PRON AUX VERB DET NOUN PUNCT
94/0760	Nelson~Beavers a travaillé pour Eurofins .	PER UNK EPS REL ORG NIL	PROPN PROPN PROPN AUX VERB ADP PROPN PUNCT	ø Nelson~Beavers ha lavorato per ø Eurofins .	DEF PER NOW EXT REL DEF ORG NIL	ADV PROPN AUX VERB ADP PROPN PROPN PUNCT
94/0906	Il a été attaqué par un requin .	PRO UNK PST EXS REL DIS CON NIL	PRON AUX AUX VERB ADP DET NOUN PUNCT	Lui venne attaccato da uno squalo .	PRO PST EXS REL DIS CON NIL	PRON AUX VERB ADP DET NOUN PUNCT
96/0785	Les chats attrapent des souris .	UNK CON EXS UNK CON NIL	DET NOUN VERB ADP NOUN PUNCT	I gatti prendono i topi .	AND CON EXS DIS CON NIL	DET NOUN VERB DET NOUN PUNCT
96/0802	Un dauphin est un mammifère	AND CON ENS DIS CON	DET NOUN AUX DET NOUN	Il delfino è un mammifero .	AND CON ENS DIS CON NIL	DET NOUN AUX DET NOUN PUNCT
96/1684				Lei è felice .	PRO NOW IST NIL	PRON AUX ADJ PUNCT
98/0794	John a hérité d' une grosse fortune .	PER UNK EPS UNK DIS DEG CON NIL	PROPN AUX VERB ADP PUNCT DET ADJ NOUN PUNCT	ø John ha ereditato una grande fortuna .	DEF PER NOW EXT DIS DEG CON NIL	ADV PROPN AUX VERB DET ADJ NOUN PUNCT
99/0716				ø Stephen~Hawking è un fisico .	DEF PER ENS DIS ROL NIL	ADV NOUN AUX DET NOUN PUNCT
99/0794				ø John è bravo in ø matematica .	DEF PER NOW IST REL DIS CON NIL	ADP PROPN AUX ADJ ADP ADP NOUN PUNCT
99/0879				Lui è mio amico .	PRO ENS HAS ROL NIL	PRON AUX DET NOUN PUNCT
99/0911	Il faisait chaud dans la pièce .	DEF PST IST REL DEF CON NIL	PRON VERB ADJ ADP DET NOUN PUNCT	La camera era calda .	DEF CON PST DEG NIL	DET NOUN AUX ADJ PUNCT
