pos	sem	tok
PRON AUX NOUN PUNCT	PRO NOW IST NIL	Io sono sovrappeso .
DET NOUN AUX ADJ PUNCT	DEF CON PST IST NIL	Il ragazzo era stanco .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è impegnato .
PROPN AUX VERB PUNCT	PER NOW EXT NIL	Marie è cresciuta .
PROPN VERB ADV PUNCT	PER EPS IST NIL	Kim sorrise dolcemente .
DET NOUN AUX ADJ PUNCT	DEF CON PST IST NIL	Il messaggio era falso .
DET NOUN VERB ADP PROPN ADP NOUN ADV NUM NOUN PUNCT	PRX CON ENS APX QUC UOM NIL	Questo libro costa su~per~giù 20 euro .
DET DET NOUN PRON VERB PUNCT	DEF HAS ROL PRO EPS NIL	I nostri genitori mi adoravano .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Tom comprò una pistola .
PRON VERB PRON PUNCT	PRO EPS AND NIL	Lo videro tutti .
PRON PUNCT NOUN AUX VERB DET DET NOUN ADP DET NOUN PUNCT	DEF ROL NOW EXT DEF HAS CON REL DEF CON NIL	L' infermiere ha preso la sua temperatura con il termometro .
PROPN VERB DET PUNCT NOUN PUNCT PUNCT	PER EPS DEF NIL ART NIL NIL	Lin~Piao scrisse il “ Libretto~Rosso ” .
PROPN NOUN AUX ADJ PUNCT	HAS ROL NOW IST NIL	Mia sorella è famosa .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	La porta è chiusa .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Lui dipinse un cane .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DIS CON EMP	Tom ha segnato un goal !
DET NOUN ADP PROPN AUX ADJ PUNCT	DEF ART REL GPE NOW IST NIL	Il museo~Rodin a Parigi è magnifico .
PRON VERB PUNCT	AND ENS NIL	Tutti ridono .
DET NOUN AUX ADJ NUM NOUN PUNCT	DEF CON NOW DEG QUC UOM NIL	Lo stagno è profondo 3 metri .
PRON VERB VERB ADP DET PROPN PUNCT	PRO ENS CON REL DEF GPE NIL	Lui importa vestiti dal la Turchia .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	La carne è congelata .
NOUN VERB ADP NOUN PUNCT	PER EPS DEF GPE NIL	Jack~Nicholson crebbe nel New~Jersey .
AUX ADJ PUNCT	PST IST NIL	Eri timida .
PROPN VERB PROPN PUNCT	PER EPS PER NIL	Tom pugnalò Mary .
ADV PRON AUX VERB PUNCT	NOT PRO NOW EXG NIL	Non mi sto vantando .
PROPN VERB ADP PROPN PUNCT	PER ENS DEF GPE NIL	Saddam~Hussein scappa negli Stati~Uniti .
PRON AUX VERB ADP NOUN PUNCT	DIS NOW EXG DEF CON NIL	Qualcuno sta bussando alla porta .
DET PROPN AUX ADV ADJ ADP PUNCT PROPN PUNCT	DEF GPE NOW MOR IST REL GPE NIL	La Russia è più grande dell' Italia .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è divertito .
PROPN ADV PRON AUX VERB PUNCT	PER NOT PRO NOW EXT NIL	Tom non mi ha svegliato .
PROPN VERB ADP DET NOUN PUNCT	PER ENS REL DEF CON NIL	Pinocchio cammina per la città .
PRON VERB DET NOUN PUNCT	PRO ENS AND CON NIL	Lui odia le feste .
NOUN AUX AUX VERB ADP PROPN PUNCT	ART NOW PFT EXS REL PER NIL	Le~Beau~Serge è stato diretto da Chabrol .
DET PROPN AUX VERB ADP PROPN PUNCT	DEF ORG PST EXT REL PER NIL	I Placebo hanno collaborato con Marilyn~Manson .
PUNCT AUX VERB ADP NUM PUNCT	PER PST EXS DEF YOC NIL	Martin~Luther~King fu ucciso nel 1968 .
PRON AUX DET ADJ NOUN VERB ADP PROPN PUNCT	QUE EPS DEF ORD CON EXS REL PER QUE	Quale fu il primo film diretto da John~Milius ?
PROPN VERB DET NOUN PUNCT	PER ENS AND CON NIL	Tom odia i ragni .
PROPN AUX DET NOUN ADJ PUNCT	PER ENS DIS ROL IST NIL	Tom è un cantante fantastico .
PRON VERB ADP NOUN PUNCT	PRO ENS REL CON NIL	Lei soffre di osteoporosi .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXG DIS CON NIL	La bambina sta accarezzando un gatto .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom vinse la lotteria .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	Il motore sta ronzando .
DET NOUN AUX VERB PROPN PUNCT	DIS CON NOW EXT PER NIL	Un coccodrillo ha mangiato Tom .
PROPN AUX AUX VERB ADP PUNCT PROPN ADP PUNCT PROPN ADP NUM PUNCT	PER NOW PFT EXS DEF CON REL GPE DEF YOC NIL	Napoleone è stato esiliato sull' Isola d' Elba nel 1814 .
PROPN AUX VERB PRON PUNCT	PER NOW EXT AND NIL	Betty ha ucciso tutti .
PROPN AUX DET NOUN ADP PROPN PUNCT	GPE ENS DIS CON REL GPE NIL	Auckland è una città della Nuova~Zelanda .
PROPN AUX ADV ADJ ADP PRON PUNCT	PER NOW INT IST REL PRO NIL	Tom è molto geloso di lei .
DET NOUN AUX ADJ PUNCT	DEF CON NOW COL NIL	La mela è rossa .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Lei stirò una gonna .
PRON PRON VERB PUNCT	AND PRO ENS NIL	Tutti lo amano .
PRON AUX ADJ PUNCT	QUE ENS PER QUE	Chi è Aaron~Copland ?
ADP DET NOUN VERB PROPN PROPN INTJ PUNCT	REL QUE CON EPS PER QUE	Da quale paese veniva Caterina~la~Grande ?
DET NOUN VERB PUNCT PROPN PUNCT PUNCT	QUE ROL EPS NIL ART NIL QUE	"Quale compositore scrisse "" Die~Götterdämmerung "" ?"
PROPN AUX DET NOUN ADJ PUNCT	PER EPS DIS ROL GPO NIL	Frank~Zappa era un musicista americano .
DET NOUN AUX ADJ PUNCT	HAS ROL NOW DEG NIL	Mio padre è alto .
PROPN NOUN NUM NOUN ADP NOUN PUNCT	PER EPS QUC UOM DEF CON NIL	Tom scommesse 300 $ sulla corsa .
DET NOUN VERB ADP NUM PUNCT	DEF CON EFS REL CLO NIL	Il treno parte alle sei .
DET NOUN AUX ADJ PUNCT ADJ PUNCT	PRX CON NOW IST NIL QUE QUE	Questa corda è robusta , vero ?
PRON PRON VERB PRON PUNCT	PRO PRO EPS DIS NIL	Lei gli sussurrò qualcosa .
PRON AUX VERB DET DET NOUN PUNCT	DIS NOW EXT DEF HAS CON NIL	Qualcuno ha rubato il mio asciugacapelli .
PRON VERB ADV VERB PUNCT	PRO NOW ALT EXG NIL	Io sto ancora mangiando .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è stordito .
DET NOUN AUX ADJ ADP NOUN PUNCT	HAS ROL NOW IST REL CON NIL	Mio nipote è allergico alle uova .
PROPN AUX VERB PUNCT	PER PST EXS NIL	Tom fu relegato .
PROPN AUX VERB PROPN PUNCT	PER NOW EXT PER NIL	Aurore~Paquiss ha sposato Chabrol .
PROPN VERB DET NOUN PUNCT	PER EPS DEF ORG NIL	Henry~Ford fondò la Ford~Motor~Company .
PROPN PROPN AUX VERB ADP PROPN PUNCT	ROL PER NOW EXT REL GPE NIL	Lady Diana è morta a Parigi .
AUX VERB DET NOUN PUNCT	PST EXG DEF CON NIL	Stava suonando il pianoforte .
AUX AUX VERB ADP PROPN PUNCT	PER NOW IST REL PER NIL	Lisa~Lillien è sposata con Dan~Schneider .
AUX VERB PUNCT	PST EXG NIL	Stava piangendo .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	La frontiera è chiusa .
DET NOUN VERB PROPN PUNCT	QUE CON EPS PER QUE	Che cosa inventò Charles~Babbage ?
DET NOUN AUX ADV ADJ PUNCT	PRX CON NOW MOR COL NIL	Questa mela è più rossa .
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alla muffa .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Lui inventò una scusa .
PROPN VERB DET NOUN ADJ PUNCT	PER EPS DEF CON IST NIL	Thomas~Edison inventò la lampadina elettrica .
DET NOUN AUX AUX VERB PUNCT	DEF CON POS NOW IST NIL	La relazione può essere esagerata .
DET NOUN ADP NOUN AUX ADJ PUNCT	DEF CON DEF CON NOW IST NIL	Le gambe del tavolo sono traballanti .
PROPN AUX DET NOUN PUNCT	PER NOW HAS ROL NIL	Tom è mio cugino .
DET NOUN AUX ADJ PUNCT	AND CON NOW COL NIL	Una banana è gialla .
AUX ADJ PUNCT	NOW DEG NIL	Sono alto .
DET NOUN AUX ADJ VERB NOUN PUNCT	DEF CON NOW DEG QUC UOM NIL	La torre è alta trecentoventun metri .
PROPN VERB ADJ PUNCT	PER ENS IST NIL	Tom sembra infelice .
PRON ADV VERB PRON PUNCT	PRO NIL ENS NOT NIL	Lui non sa nulla .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è disorientato .
PRON AUX VERB PROPN PUNCT	PRO NOW EXT PER NIL	Io ho svegliato Tom .
PROPN VERB ADP PROPN PUNCT	PER EPS DEF GPE NIL	Maler viveva nello Yucatán .
DET ADJ NOUN ADP PROPN PUNCT	DEF ORG ENS REL GPE NIL	La Southwest~Airlines opera a New~Orleans .
NUM NOUN PUNCT	NOW IST NIL	Sei pazza .
AUX VERB	NOW COL	Sono gialle
PRON AUX VERB DET PROPN PUNCT	QUE NOW EXT DEF ART QUE	Chi ha scritto la Bibbia ?
PRON AUX DET NOUN ADP NOUN ADJ PUNCT	QUE ENS DEF ROL DEF ORG GPO QUE	Chi è il capo del Gruppo~Islamico~Armato algerino ?
DET NOUN VERB ADV NUM NOUN PUNCT	DEF CON EPS LES QUC UOM NIL	La guerra durò quasi dieci anni .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL DIS CON NIL	Lei versò il latte in una tazza .
PROPN AUX VERB PUNCT	PER NOW EXT NIL	Tom ha accelerato .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è indignato .
DET NOUN AUX VERB ADP NOUN PUNCT	DEF CON NOW EXG DEF CON NIL	Le rondini stanno volando nel cielo .
PROPN VERB PUNCT	NOW EXG NIL	Sto congelando .
AUX VERB DET NOUN ADP PRON PUNCT	NOW EXT DIS CON REL PRO NIL	Ho raccolto una margherita per lei .
PROPN VERB ADP VERB DET NOUN PUNCT	PER EPS NIL EXS DEF CON NIL	Tom continuava a suonare il clacson .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL PER NIL	Sandra~Goudie fu sconfitta da Max~Purnell .
DET NOUN AUX VERB ADP NOUN PUNCT	DEF CON NOW EXG REL CON NIL	Il vento sta soffiando da est .
PRON AUX VERB DET PUNCT PROPN PUNCT VERB PUNCT PUNCT	QUE NOW EXT DEF NIL ART NIL QUE	"Chi ha vinto il "" Tour~de~France "" ?"
ADV VERB NOUN PUNCT	QUE EPS PER QUE	Quanto pesava Marilyn~Monroe ?
PROPN AUX VERB PUNCT	PER NOW EXS NIL	Tom è devastato .
PRON AUX VERB ADP PROPN PUNCT	PRO NOW EXG REL CON NIL	Lui sta giocando a Monopoli .
PROPN PRON PUNCT	ENS AND NIL	Gemono tutti .
AUX VERB ADP NOUN PUNCT	NOW EXT DEF CON NIL	Abbiamo nuotato nel lago .
PRON VERB PROPN PUNCT	AND ENS PER NIL	Tutti rispettano Erkin .
ADV VERB DET NOUN PUNCT	NOT EXS DST CON NIL	Non provochi quella vespa .
PROPN AUX ADV ADJ ADP PROPN PUNCT	PER NOW MOR IST REL PER NIL	Justin~Bieber è più famoso di Katie~Holmes .
PROPN AUX ADV ADJ ADP PROPN PUNCT	GPE NOW MOR IST REL GPE NIL	Marrakesh è più calda di Parigi .
PRON ADV PRON VERB PUNCT	DST NOT PRO ENS NIL	Quello non mi sorprende .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DIS CON NIL	Tom sta pagando una multa .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è imbarazzato .
DET DET NOUN AUX ADJ PUNCT	DEF HAS CON NOW COL NIL	Le sue unghie sono rosse .
PRON ADV AUX ADJ PUNCT	PRO NOT NOW IST NIL	Loro non sono felici .
ADV PRON AUX VERB PUNCT	ALT PRO PST EXS NIL	Anche io venni sconfitto .
PROPN AUX ADV ADJ PUNCT	PER NOW INT IST NIL	Tom è veramente carino .
PROPN ADV AUX ADV ADJ PUNCT	PER NOT NOW INT IST NIL	Tom non è molto bello .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è disorganizzato .
PRON AUX VERB ADP PROPN PUNCT	DIS NOW EXT REL PER QUE	Qualcuno ha parlato con Tom ?
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è disonesto .
DET NOUN VERB PUNCT	DEF ROL EPS NIL	Il sospetto confessò .
PRON AUX VERB NUM NOUN PUNCT	PRO NOW EXT QUC UOM NIL	Io ho preso tre chili .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è esigente .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom ha un pickup .
PROPN ADV AUX ADV ADJ PUNCT	PER NOT NOW INT IST NIL	Tom non è molto intelligente .
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alle ragazze .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è ubriaco .
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom è stato rapito .
PROPN AUX ADJ PUNCT	PER PST IST NIL	Tom era scortese .
DET NOUN AUX ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	Il gatto è sotto il tavolo .
PRON VERB ADP NOUN PUNCT	PRO EFS DIS CON NIL	Io mangerò del pesce .
PRON VERB ADP PROPN PUNCT	PRO ENS REL GPE NIL	Lui vive in Marocco .
NOUN VERB X PUNCT PROPN PUNCT	CON ENS DEF GPE NIL	Inondazioni devastano l' Europa .
PROPN AUX VERB DET PROPN PUNCT	PER NOW EXT DEF CON NIL	Edison ha inventato il Kinetoscopio .
PROPN VERB NUM PUNCT	PER EPS YOC NIL	Swift morì 1745 .
PRON AUX PROPN PUNCT	QUE ENS PER QUE	Chi è Al~Sharpton ?
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXG DIS CON NIL	Il cane sta sgranocchiando un osso .
DET NOUN AUX VERB PUNCT	AND CON POS EXS NIL	Un libro può emozionare .
PROPN AUX VERB DET DET NOUN ADJ PUNCT	PER NOW EXT DEF HAS CON COL NIL	Tom ha stirato la sua camicia bianca .
PROPN VERB PUNCT	PER EPS NIL	Tom salutò .
PROPN AUX VERB ADP NUM PUNCT	PER PST EXS DEF YOC NIL	Harvard venne fondata nel 1636 .
AUX VERB PUNCT	NOW EXT NIL	Hanno fallito .
ADV PRON AUX ADJ PUNCT	NOT AND NOW IST NIL	Non tutti sono disonesti .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DEF CON NIL	Tom ha chiuso le persiane .
PROPN AUX VERB PUNCT	GEO NOW IST NIL	Piazza~San~Pietro è affollata .
PROPN AUX ADJ PUNCT	PER PST EXG NIL	Jane era furiosa .
PROPN AUX VERB PROPN NUM NOUN ADV PUNCT	PER NOW EXT PER QUC UOM PST NIL	Tom ha ucciso Mary tre anni fa .
PROPN PRON VERB NOUN ADP NOUN PUNCT	PER PRO NOW EXT REL CON NIL	Tom mi ha battuta a scacchi .
PROPN NOUN VERB NOUN PUNCT	HAS ROL EPS IST NIL	Mia moglie sembrava sorpresa .
PRON PRON VERB PUNCT	PRO PRO EPS NIL	Lui mi sparò .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Nancy ha un piano .
DET NOUN AUX AUX VERB NUM NOUN ADV PUNCT	PRX CON NOW PFT EXS QUC UOM PST NIL	Questo ponte è stato costruito due anni fa .
DET DET NOUN AUX ADJ PUNCT	DEF HAS CON NOW COL NIL	Il mio cane è bianco .
NUM ADV NUM VERB NUM PUNCT	QUC CON QUC EXS QUC NIL	Cinque più tre fa otto .
PRON VERB PUNCT PROPN PROPN ADP PROPN PROPN PUNCT PUNCT	QUE EPS NIL ART NIL QUE	"Chi scrisse "" Fiddler~of~the~Roof "" ?"
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom è stato rapito .
PROPN AUX VERB PROPN PUNCT	PER NOW EXT PER NIL	Tom ha colpito Mary .
PRON VERB NOUN DET NOUN PUNCT	PRO NOW EXT DEF CON NIL	Lui ha munto la vacca .
PRON AUX AUX VERB ADP PROPN PUNCT	DST NOW PFT EXS REL PER NIL	Quello è stato scritto da Taro~Akagawa .
PROPN VERB PUNCT	NOW EXG QUE	Sto scivolando ?
PRON AUX VERB PROPN ADP NUM PUNCT	PRO NOW EXT PER DEF YOC NIL	Io ho sposato Tom nel 2013 .
PROPN AUX AUX ADV ADJ PUNCT	PER NOW PFT INT IST NIL	Tom è stato molto infelice .
PROPN PROPN PROPN PUNCT	PER EPS PER NIL	Tom calciò Mary .
DET NOUN AUX ADJ PUNCT	AND CON NOW COL NIL	Ogni mela è rossa .
PRON AUX VERB ADP DET NOUN PUNCT	PRO NOW IST REL PRX CON NIL	Io sono innamorato di questa donna .
PRON AUX VERB ADP PUNCT NOUN ADP NOUN PUNCT	PRO NOW EXT DIS CON DEF CON NIL	Lei ha rovesciato dell' inchiostro sulla scrivania .
AUX AUX VERB DET ADJ NOUN PUNCT	NOW PFT EXS DIS IST CON NIL	È stato riesumato un antico vaso .
PRON ADV AUX ADV VERB PUNCT	PRO NOT NOW ALT IST NIL	Io non sono ancora morta .
AUX ADJ PUNCT	NOW IST NIL	È testarda .
PROPN VERB PROPN PUNCT	PER EPS GPE NIL	Leloir nacque Argentina .
PROPN AUX AUX VERB ADP PROPN PUNCT	PER NOW PFT EXS REL GPE NIL	El-Nashar è stato arrestato in Egitto .
PROPN AUX DET NOUN ADP NOUN PUNCT	PER ENS DEF ROL REL PER NIL	Sylvia~Costas è la moglie di Andy~Sipowicz .
NOUN VERB NUM NOUN ADJ PUNCT	ORG EPS QUC CON GPO NIL	PM acquistò tre fabbriche russe .
PROPN VERB DET NOUN PUNCT	PER ENS DEF CON NIL	Tom odia le regole .
PRON AUX VERB PUNCT	PRO PST IST NIL	Voi eravate innamorate .
DET NOUN AUX VERB DET PUNCT NOUN PUNCT	DEF CON NOW EXT DEF CON NIL	Il cane ha morso l' uomo .
PROPN AUX VERB PROPN PUNCT	PER NOW EXG PER NIL	Tom sta baciando Mary .
PROPN PRON VERB DET NOUN PUNCT	PER PRO EPS DEF CON NIL	Dick mi passò la foto .
DET NOUN AUX ADV X NOUN PUNCT	DEF CON NOW IST NIL	Il libro è fuori~stampa .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXT DEF CON NIL	La polizia ha disperso la folla .
AUX ADJ PUNCT	NOW DEG NIL	Sono basso .
PRON AUX DET NOUN ADJ PUNCT	PRO ENS DIS ROL IST NIL	Lei è una chef eccellente .
PRON VERB ADP NOUN PUNCT	PRO ENS DIS CON NIL	Io voglio del latte .
ADV AUX VERB PROPN PUNCT	QUE PST EXS ORG QUE	Dove venne fondata Greenpeace ?
AUX ADJ PUNCT	NOW IST NIL	È accettabile .
AUX VERB DET PUNCT NOUN ADJ PUNCT	NOW EXT DIS CON COL NIL	Ho comprato un' agenda rossa .
DET NOUN PROPN PUNCT	DEF CON ENS NIL	Il piccione tuba .
NOUN AUX VERB NUM NOUN PUNCT	ORG NOW EXT QUC ROL NIL	General~Motors ha licenziato 76.000 lavoratori .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	Il pollo sta schiamazzando .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è scortese .
DET DET NOUN VERB NUM PUNCT ADP PROPN NUM PUNCT	DEF HAS CON EPS SCO NIL	La nostra squadra vinse tre~a~uno .
PRON AUX NOUN PUNCT	PRO NOW IST EMP	Tu sei sbronza !
PROPN VERB DET NUM PROPN PUNCT	PER EPS DEF QUC CON NIL	Accardo compose i 24 Capricci .
DET NOUN VERB DET PROPN PROPN PUNCT	QUE ROL ENS DEF GPE QUE	Quanti abitanti ha l' Uttar~Pradesh ?
PRON AUX PROPN PUNCT	QUE ENS PER QUE	Chi è Antonia~Coello~Novello ?
PROPN VERB DET NOUN PUNCT	PER ENS DEF CON NIL	Millie ama il cioccolato .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXT QUE	La rosa è sbocciata ?
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	La ragazza è solitaria .
ADV PROPN AUX VERB ADP NOUN PUNCT	QUE PER PST EXS REL CON QUE	Perché Jane è andata in stazione ?
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DIS CON NIL	Mary ha fumato un sigaro .
ADP PRON VERB DET NOUN ADJ PUNCT	REL PRO ENS AND CON COL NIL	A lei piacciono i vestiti blu .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Lo sciacallo ulula .
ADJ AUX VERB PROPN PUNCT	ORG NOW EXT ART NIL	FermiLab ha creato Linux~LTS .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom ha una macchina .
PROPN ADV AUX ADP PROPN PRON ADJ PUNCT	PER NOT NOW EMP IST NIL	Tom non è per~niente felice .
AUX VERB PUNCT	NOW IST NIL	Sono morti .
DET NOUN AUX VERB PUNCT	DEF ROL NOW EXT EMP	Il prigioniero è fuggito !
DET NOUN AUX DET NOUN PUNCT	HAS ROL EPS DIS ROL NIL	Mio nonno era un mugnaio .
DET NOUN VERB NUM NOUN PUNCT	DEF CON ENS QUC UOM NIL	Il libro costa 4 dollari .
PRON AUX VERB PUNCT	QUE NOW EXT QUE	Chi ha scoreggiato ?
PRON ADV AUX VERB DET NOUN PUNCT	PRO NOT NOW EXG DEF CON NIL	Io non sto infrangendo la legge .
DET NOUN NOUN PUNCT	DEF CON ENS NIL	Il lupo ulula .
PROPN VERB DET PROPN PUNCT	PER EPS DEF CON NIL	Tom spense la TV .
PROPN PRON VERB ADP DET NOUN PUNCT	PER PRO EPS REL DIS CON NIL	Tom lo fissò con un martello .
PROPN AUX ADJ ADP NUM NOUN PUNCT	PER NOW IST REL QUC UOM NIL	Mary è incinta di due mesi .
DET NOUN AUX VERB ADP PROPN PUNCT	DEF CON NOW EXT REL GPE NIL	Il jet è atterrato a Tokyo .
PRON ADV AUX VERB PUNCT	PRX NOT ENS CON NIL	Questo non è sale .
DET NOUN PUNCT PROPN PUNCT AUX AUX VERB ADP PROPN PUNCT	DEF CON NIL ART NIL NOW PFT EXS REL PER NIL	Il film ' Speed ' è stato diretto da Jan~De~Bont .
DET PROPN VERB ADP NUM PUNCT	DEF ART EPS DEF YOC NIL	Il Titanic affondò nel 1912 .
PRON AUX VERB PUNCT	NOT NOW EXT NIL	Nessuno è venuto .
DET NOUN NOUN PUNCT	AND CON ENS NIL	La merda puzza .
PRON PUNCT NOUN VERB DET NOUN PUNCT	DEF CON EPS DIS CON NIL	L' orso mangiò una mela .
PRON ADP PRON AUX ADJ PUNCT	NOT REL PRO NOW IST NIL	Nessuno di loro è presente .
PROPN AUX ADV VERB PUNCT	PER NOW ALT IST NIL	Tom è ancora celibe .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Io sono allergica ai gatti .
DET NOUN PROPN NOUN X NOUN VERB ADP PROPN PUNCT	DEF CON ORG ENS DEF GPE NIL	Il gruppo~rock Spock's~Beard viene dal Giappone .
DET NOUN PUNCT PROPN PUNCT AUX AUX VERB ADP PROPN PUNCT	DEF CON NIL ART NIL NOW PFT EXS REL PER NIL	Il film ' Speed ' è stato diretto da Jan~De~Bont .
PROPN AUX AUX VERB DET NOUN PUNCT	GPE NOW PFT EXS QUV CON NIL	Londra è stata bombardata diverse volte .
DET NOUN VERB DET PUNCT NOUN PUNCT	AND CON EXS DEF CON NIL	Una spugna assorbe l' acqua .
PRON PUNCT NOUN ADV AUX ADJ PUNCT	DEF CON NOT NOW IST NIL	L' acqua non è potabile .
SCONJ PRON PUNCT AUX PROPN PUNCT	QUE CON ENS ORG QUE	Che cos' è Bausch~&~Lomb ?
DET NOUN VERB PROPN PUNCT	QUE CON EPS PER QUE	Quale squadra scelse Brett~Favre ?
PROPN VERB PUNCT	PER EPS NIL	Tom starnutì .
PROPN VERB NUM NOUN PUNCT VERB DET NOUN PUNCT	PER ENS QUC CON NIL REL DEF CON NIL	Tom parla cinque lingue , incluso il russo .
ADV VERB PRON NOUN PUNCT	NOT ENS DST CON NIL	Non provocare quella vespa .
PRON AUX VERB DET NOUN ADP NOUN PUNCT	PRO PST EXG DIS CON REL CON NIL	Io stavo comprando qualche libro in libreria .
PROPN PRON PRON AUX VERB PUNCT	PER PRO NOW EXT NIL	Tom l' ha autografata .
PRON AUX DET NOUN ADP NOUN PUNCT	PRX ENS DIS CON REL CON NIL	Questo è un tavolo di legno .
PROPN NOUN AUX DET ADJ NOUN PUNCT	HAS ROL ENS DIS IST ROL NIL	Mia moglie è una brava cuoca .
DET NOUN AUX ADJ PUNCT	NOT CON NOW IST NIL	Nessun sistema è perfetto .
DET NOUN ADP PROPN AUX ADJ PUNCT	DEF CON REL GPE NOW IST NIL	La gente di Madrid è pazza .
PRON AUX AUX VERB PUNCT	DIS NOW PFT EXS QUE	Qualcuno è stato ucciso ?
PRON AUX VERB DET DET NOUN PUNCT	PRO NOW EXT DEF HAS CON NIL	Mi è piaciuta la tua storia .
DET NOUN VERB DET NOUN PUNCT	DEF CON EPS DEF CON NIL	Il ragazzo mangiò la mela .
ADV PRON VERB ADJ PUNCT	ALT PRO ENS CON NIL	Anche io parlo francese .
PRON AUX VERB PUNCT	PRO NOW EXT NIL	Io ho fumato .
DET NOUN AUX VERB DET NOUN PUNCT	DEF ROL NOW EXT DEF ROL NIL	Il mercante ha corrotto il politico .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Lei sbriciolò un biscotto .
PRON AUX ADJ PUNCT	NOT NOW IST NIL	Nessuno è perfetto .
PRON AUX VERB ADP PRON PUNCT	AND NOW EXT REL PRO NIL	Tutti hanno riso di lui .
AUX ADV ADJ PUNCT	NOW INT IST NIL	È piuttosto carina .
PRON PUNCT PROPN ADV AUX DET PROPN PUNCT	DEF GPE NOT ENS DEF GPE NIL	L' Italia non è la Grecia .
PRON VERB DET NOUN PUNCT	PRO ENS DEF CON NIL	Lei adora le torte .
DET NOUN AUX ADV ADV PUNCT	DEF CON NOW INT IST NIL	Il ghiaccio è molto spesso .
PROPN VERB PUNCT	PER EPS NIL	Gesù pianse .
NUM ADJ PUNCT	NOW IST NIL	Sei pedante .
PROPN AUX VERB DET NUM PUNCT	PER NOW EXT DEF CTC NIL	Tom ha composto il 911 .
PROPN AUX ADJ PUNCT	PER NOW DEG NIL	Tom è giovane .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta nuotando .
DET NOUN VERB ADP PRON PUNCT NOUN PUNCT	DEF CON ENS REL DEF CON NIL	I pesci abbondano nel l' oceano .
PROPN VERB DET NOUN ADP DET PUNCT NOUN PUNCT	PER EPS DEF CON REL DIS CON NIL	Tom riempì il secchio con dell' acqua .
PROPN AUX VERB DET PUNCT NOUN PUNCT	PER NOW EXT DEF CON NIL	Tom ha guidato l' automobile .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DIS CON NIL	Tom sta guidando un camion .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC UOM NIL	Io ho 18 anni .
DET NOUN AUX VERB ADP NOUN PUNCT	DEF CON NOW EXT DEF CON NIL	La tigre è scappata dallo zoo .
PRON VERB PROPN PUNCT	NOT ENS PER NIL	Nulla spaventa Tom .
AUX VERB PRON PUNCT	NOW EXT AND NIL	Hanno sorriso tutti .
