pos	sem	tok
PROPN AUX ADP DET NOUN VERB PUNCT	PER PST REL DEF CON EXT NIL	Bill wurde von dem Mann umgebracht .
PRON AUX ADP PROPN VERB PUNCT	PRO PST REL GPE EXS NIL	Ich wurde in Amerika geboren .
PRON AUX NOUN PUNCT	PRO ENS CON NIL	Ich habe Heuschnupfen .
PRON VERB ADV PUNCT	NIL ENS ALT NIL	Es regnet wieder .
ADV AUX DET NOUN PUNCT	CON ENS HAS CON NIL	Japanisch ist meine Muttersprache .
DET NOUN VERB NOUN PUNCT	DEF CON NOW IST NIL	Der Mann hat recht .
ADP DET NOUN VERB DET NOUN PUNCT	REL DEF CON ENS DIS CON NIL	Unter dem Tisch liegt ein Keks .
DET NOUN AUX NUM NOUN VERB PUNCT	HAS ROL NOW QUC CON EXT NIL	Meine Mutter hat zehn Eier gekocht .
PRON VERB PUNCT	PRO EPS NIL	Ich rauchte .
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Er hasst Karotten .
DET NOUN AUX VERB PUNCT	DEF GEO NOW IST NIL	Die Karpaten sind bewaldet .
DET NOUN VERB ADP DET NOUN PUNCT	DEF ROL EPS REL HAS CON NIL	Der Einbrecher stürmte in sein Haus .
DET NOUN VERB ADP PRON PUNCT	DIS CON EPS REL PRO NIL	Ein Hubschrauber kreiste über uns .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Der Truthahn kollert .
PROPN VERB DET NOUN PUNCT	PER ENS HAS CON NIL	Tom näht seine Jacke .
PRON ADV ADP DET NOUN PUNCT	PRO EPS REL DEF CON NIL	Sie kroch aus dem Fenster .
PRON VERB DET NOUN ADV PUNCT	PRO ENS HAS CON REL NIL	Ich gestehe meinen Fehler ein .
PRON VERB ADP DET NOUN PROPN PUNCT	PRO ENS REL DEF CON NTH NIL	Wir leben auf dem Planeten Erde .
VERB AUX DET ADJ NOUN PUNCT	PER EPS DIS GPO ROL NIL	Vincent~van~Gogh war ein niederländischer Maler .
DET NOUN VERB PROPN PUNCT	QUE CON ENS PER QUE	Welche Instrumente spielt Tom ?
DET NOUN AUX VERB PUNCT	DEF CON FUT EXS NIL	Der Hund wird bellen .
PRON AUX NUM NOUN ADV PUNCT	PRO NOW QUC UOM DEG NIL	Ich bin vierzig Jahre alt .
PRON ADJ NOUN PUNCT	PRO ENS CON NIL	Ich koche Wasser .
DET NOUN AUX DET NOUN VERB PUNCT	PRX CON FUT HAS CON EXS NIL	Dieses Medikament wird Ihre Kopfschmerzen lindern .
PRON VERB PRON PUNCT	PRO ENS PRO EMP	Sie langweilen mich !
PROPN VERB PUNCT	PER ENS NIL	Tom kocht .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Er hat einen Homerun geschlagen .
PROPN PRON VERB PUNCT	FUT PRO EXS NIL	Lasst uns üben .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Ich habe eine Fliegende~Untertasse gesehen .
DET NOUN AUX ADV PUNCT	HAS CON NOW IST NIL	Mein Koffer ist kaputt .
DET NOUN VERB PUNCT	DEF CON EPS NIL	Die Mädchen kicherten .
PRON VERB PROPN ADP NOUN PUNCT	PRO EPS PER DEF CON NIL	Ich fuhr Tom zur Schule .
DET NOUN VERB PUNCT	AND CON EPS NIL	Alle Jungen tanzten .
PROPN VERB PRON NOUN PUNCT	PER EPS PRO CON NIL	Tom gab mir Tabletten .
DET NOUN VERB ADP DET PROPN PUNCT	DEF CON ENS REL DEF GEO NIL	Der Fluss mündet in den Pazifik .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DST CON EXT NIL	Ich habe diesen Wagen gekauft .
PRON AUX ADV VERB PUNCT	PRO PST ALT IST NIL	Er war auch überrascht .
PRON AUX DET NOUN VERB PUNCT	QUE NOW PRX CON EXT QUE	Wer hat dieses Gerät erfunden ?
PRON AUX ADP DET NOUN DET NOUN VERB PUNCT	PRO NOW REL HAS CON DIS CON EXT NIL	Ich habe in meinem Garten einen Pfirsichbaum gepflanzt .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Er zeichnete einen Apfel .
PROPN ADV PROPN ADP DET NOUN PUNCT	PER EPS PER REL DIS CON NIL	Tom stach Mary mit einem Messer .
NUM AUX NOUN PROPN VERB PUNCT	YOC NOW PER GPE EPS NIL	1497 hat Giovanni~Caboto Kanada erforscht .
PROPN VERB PUNCT	PER ENS NIL	Tom singt .
DET NOUN VERB DET NOUN PUNCT	DEF ROL EPS DEF CON NIL	Der Bogenschütze tötete den Hirsch .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Ich fahre ein Cabrio .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC CON NIL	Tom machte zwanzig Liegestütze .
DET NOUN VERB ADP NOUN ADP PUNCT	DEF CON EFS REL CLO REL NIL	Der Zug fährt um neun~Uhr ab .
PRON AUX ADV PUNCT	PRO NOW IST EMP	Ihr seid verrückt !
PROPN AUX PRON DET NOUN VERB PUNCT	PER NOW PRO DIS CON EXT NIL	Maria hat mir einen Brief geschrieben .
DET NOUN VERB NOUN ADP PUNCT	DEF CON EPS PER REL NIL	Die Katze fauchte Tom an .
PRON VERB NUM NOUN ADP NOUN PUNCT	PRO EPS QUC UOM DEF CON NIL	Wir verbrachten drei Stunden im Freien .
PRON AUX PRON ADV VERB PUNCT	PRO NOW PRO IST EXT NIL	Er hat mich öffentlich beleidigt .
PROPN AUX NUM NOUN ADP DET PROPN VERB PUNCT	GPE NOW QUC CON REL DEF GPE EXT NIL	Rumänien hat 730 Truppen in den Irak geschickt .
PROPN AUX DET NOUN PART VERB PUNCT	PER NOW DEF CON NOT EXT NIL	Bill hat das Verbrechen nicht begangen .
DET NOUN AUX NUM VERB PUNCT	PRX CON PST YOC EXS NIL	Diese Schule wurde 1650 gegründet .
NOUN AUX DET NOUN ADP PROPN PUNCT	GPE ENS DEF CON REL GPE NIL	Buenos~Aires ist die Hauptstadt von Argentinien .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Dieses Buch kostet 4 Dollar .
PRON VERB DET ADJ NOUN ADP PRON PUNCT	PRO EPS DIS GPO CON REL PRO NIL	Sie sang ein japanisches Lied für uns .
PROPN AUX DET ADJ NOUN VERB PUNCT	PER NOW DIS IST CON EXT NIL	Rudolf hat ein großes Haus gebaut .
PROPN AUX DET NOUN VERB PUNCT	PER NOW DIS CON EXT NIL	Tom hat eine Bank ausgeraubt .
PRON AUX ADV NUM NOUN ADV PUNCT	PRO NOW LES QUC UOM DEG NIL	Ich bin fast 180 Zentimeter groß .
PRON AUX DET NOUN VERB PUNCT	PRO NOW AND CON EXT NIL	Er hat jedes Problem gelöst .
PRON VERB PRON ADP DET NOUN PUNCT	PRO EPS PRO REL DEF CON NIL	Er klopfte mir auf die Schulter .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS HAS ROL REL DEF CON NIL	Er klopfte seinem Bruder auf die Schulter .
PRON AUX ADV ADP PROPN PUNCT	PRO EPS PST REL GPE NIL	Ich war gestern in Boston .
DET NOUN VERB PUNCT	DEF ROL EPS NIL	Der Soldat rannte .
AUX PRON DET NOUN VERB PUNCT	NOW PRO DEF CON EXT QUE	Hast du die Handtücher gezählt ?
PRON AUX DET NOUN PUNCT	PRO ENS DIS ROL NIL	Ich bin ein Tennisspieler .
PROPN VERB PUNCT	PER ENS NIL	Tom tanzt .
PRON VERB NUM NOUN PUNCT	PRO EPS QUC UOM NIL	Sie sparte 100 Dollar .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Die Katzen miauen .
PROPN VERB ADV ADJ NOUN PUNCT	PER ENS IST COL CON NIL	Maria trägt gewöhnlich knallroten Lippenstift .
AUX PRON ADV ADV ADV PUNCT	NOW PRO ALT ALT IST QUE	Bist du immer noch böse ?
PROPN AUX PRON VERB PUNCT	PER NOW DIS EXT NIL	Tom hat etwas gegessen .
PRON AUX NUM NOUN ADV ADP PRON PUNCT	PRO NOW QUC UOM MOR REL PRO NIL	Sie sind drei Jahre älter als ich .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DEF CON EXT NIL	Wir haben die Kuh gemolken .
PRON AUX VERB PUNCT	PRO NOW EXT NIL	Ich habe verschlafen .
DET NOUN AUX ADV PUNCT	DEF CON NOW IST NIL	Die Disko ist leer .
DET NOUN VERB PRON ADP PUNCT	HAS CON ENS PRO REL NIL	Sein Hund bellt mich an .
PROPN VERB ADP DET NOUN PUNCT	PER EPS REL DEF CON NIL	Tom stieg aus dem Jeep .
PRON AUX PUNCT PUNCT	PRO NOW CLO NIL	Es ist 7:50~Uhr .
PRON VERB PART PUNCT	PRO ENS NOT NIL	Er raucht nicht .
PRON AUX DET NOUN PART VERB PUNCT	PRO POS HAS CON NOT EXS NIL	Ich kann meine Uhr nicht finden .
PRON AUX NOUN PUNCT	PRO NOW CLO NIL	Es ist ein~Uhr .
PROPN VERB DET NOUN PUNCT	PER ENS NOT CON NIL	Tom hat keine Kreditkarte .
ADV	PER	Iris~Radisch
PRON VERB PROPN PUNCT	DST EPS PER NIL	Das verstand Wagner .
ADV AUX DET NOUN PROPN VERB PUNCT	QUE PST DEF ROL PER EXS QUE	Wo wurde der Regisseur Michelangelo~Antonioni geboren ?
PRON VERB ADP DET NOUN PUNCT	DIS ENS REL DEF CON NIL	Jemand klopft an die Tür .
PROPN NOUN VERB PUNCT	PER CON EPS NIL	Toms Telefon klingelte .
PROPN VERB DET NOUN ADP PUNCT	PER EPS DIS CON REL NIL	Tom legte ein Schürze an .
PRON AUX DET NOUN VERB PUNCT	PRO PST AND CON EXT NIL	Er hatte jegliche Hoffnung verloren .
AUX PRON DET NOUN VERB PUNCT	NOW PRO DIS CON EXT QUE	Hast du eine Rückfahrkarte gekauft ?
DET NOUN AUX ADP ADJ VERB PUNCT	DEF CON NOW REL CLO EXT NIL	Der Film hat um 2~Uhr begonnen .
PRON AUX ADP PROPN ADV PUNCT	PRO NOW REL GPE IST NIL	Das ist in China beliebt .
DET NOUN AUX PART ADV PUNCT	PRX CON NOW NOT IST NIL	Dieses Eichhörnchen ist nicht scheu .
PRON AUX ADP PRON VERB PUNCT	PRO NOW REL PRO EXS NIL	Sie wird von ihm erpresst .
PRON AUX NOUN VERB PUNCT	PRO NOW CON EXT NIL	Sie haben Mäusespeck gegessen .
PRON AUX VERB PUNCT	PRO FUT EXS NIL	Ich werde singen .
PRON VERB DET NOUN ADP PUNCT	PRO EPS HAS CON REL NIL	Ich klappte mein Telefon zu .
PRON AUX NOUN PUNCT	PRO ENS ROL NIL	Sie ist Immobilienmaklerin .
PRON AUX DET NOUN PART VERB PUNCT	PRO NOW DST CON NOT EXT NIL	Ich habe diese Tür nicht aufgeschlossen .
PRON AUX NOUN VERB PUNCT	PRO NOW CON EXT NIL	Ich habe Pizza bestellt .
PRON AUX ADP NOUN NOUN ADV PUNCT	PRO NOW REL CON CON IST NIL	Er ist gegen Haus staub allergisch .
PRON AUX ADP DET NOUN VERB PUNCT	PRO NOW REL DEF CON EXT NIL	Ich habe auf dem Boot geschlafen .
PRON AUX PRON VERB PUNCT	PRO NOW PRO EXT NIL	Wir haben ihn gestört .
NOUN VERB ADV ADP NOUN PUNCT	CON EPS IST REL CON NIL	Blätter sanken leise zu Boden .
DET NOUN AUX ADP ADJ VERB PUNCT	DEF CON FUT REL CLO EXS NIL	Das Flugzeug wird um 5~Uhr abheben .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	Sie küsste ihn .
DET ADJ NOUN VERB PUNCT	DEF ALT ROL EPS NIL	Die anderen Schüler lachten .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC CON NIL	Dieses Buch hat fünf Kapitel .
PROPN VERB DET NOUN ADP PUNCT	PER EPS HAS CON REL NIL	Tom nahm seinen Ehering ab .
PRON AUX DET ADV VERB PUNCT	PRO NOW DEF GEO EXT NIL	Er hat den Mont~Everest bezwungen .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom bezahlte die Rechnung .
PRON AUX ADV ADP DET NOUN PUNCT	PRO PST IST REL DEF CON NIL	Sie war vertieft in das Video .
PRON AUX PRON ADV VERB PUNCT	PRO NOW PRO DIS EXT NIL	Ich habe es irgendwo versteckt .
PRON VERB DET NOUN ADP PUNCT	PRO EPS DEF CON REL NIL	Er lächelte das Mädchen an .
PRON AUX ADV ADP DET NOUN PUNCT	PRO NOW IST REL HAS ROL NIL	Er ist stolz auf seinen Sohn .
PRON VERB DET NOUN ADV PUNCT	PRO EPS HAS CON IST NIL	Er trug sein Hemd verkehrt~herum .
DET NOUN VERB ADP PROPN PUNCT	HAS ROL ENS REL GPE NIL	Meine Eltern stammen aus China .
PRON AUX ADP PRON VERB PUNCT	PRO NOW REL PRO IST NIL	Ich bin in dich verliebt .
PRON AUX ADP DET ADJ NOUN VERB PUNCT	PRO PST REL DIS IST ROL EXS NIL	Ich wurde von einem alten Freund eingeladen .
PRON AUX DET NOUN ADP PRON VERB PUNCT	PRO NOW DEF CON REL PRO EXT NIL	Ich habe das Radio für ihn repariert .
PRON AUX NOUN PUNCT	NIL NOW EXT NIL	Es hat geschneit .
PRON AUX DET NOUN VERB PUNCT SCONJ PRON VERB PUNCT	PRO NOW DIS CON EXT NIL SUB NIL EPS NIL	Ich habe ein Taxi genommen , weil es regnete .
PRON VERB DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Sie haben einen Ara gekauft .
NOUN	CON	Todesstrafe
ADV	PER	Paul~Keast
DET NUM ADJ NOUN PUNCT	DEF QUC IST CON NIL	Die vier grossen Irrthümer .
DET NOUN VERB PART PUNCT	DEF CON ENS NOT NIL	Der Drucker funktioniert nicht .
PRON AUX PART ADV PUNCT CCONJ PUNCT	PRO NOW NOT IST NIL QUE QUE	Sie ist nicht jung , oder ?
PRON VERB PRON PART PUNCT	PRO ENS REF NOT NIL	Ich hasse mich nicht .
DET NOUN AUX ADV PUNCT	HAS CON NOW IST NIL	Dein Reißverschluss ist offen .
DET NOUN AUX ADP DET ADJ NOUN VERB PUNCT	DEF CON PST REL DIS IST CON EXS NIL	Die Straße wurde durch einen riesigen Lastwagen blockiert .
PROPN PROPN CCONJ VERB PRON ADP DET NOUN PUNCT	PER EPS COO EPS PRO REL DIS CON NIL	Maria lachte und bewarf mich mit einem Kissen .
PRON AUX ADV ADV ADV PUNCT	PRO NOW ALT INT IST NIL	Ich bin auch ziemlich aufgeregt .
PROPN AUX PRON DET NOUN VERB PUNCT	PER PST REF DIS CON EXT NIL	Maria hat sich ein Mikroskop gekauft .
DET NOUN VERB NUM PUNCT	DEF CON EPS YOC NIL	Der Krieg endete 1945 .
PRON VERB NOUN CCONJ DET ADJ NOUN PUNCT	PRO EPS CON GRP DIS QUV CON NIL	Er kaufte Gemüse und ein bisschen Obst .
NOUN PROPN VERB ADV ADP PROPN PUNCT	ROL PER ENS NOW REL GPE NIL	Herr Smith lebt jetzt in Kioto .
PROPN VERB DET NOUN CCONJ VERB PRON ADP NOUN PUNCT	PER EPS HAS CON COO EPS REF REL CON NIL	Tom nahm seinen Schirm und begab sich zum Aufzug .
DET NOUN AUX NUM NOUN ADV PUNCT	DEF CON NOW QUC UOM DEG NIL	Das Haus ist fünfhundert Jahre alt .
AUX PRON ADP PRON VERB PUNCT	NOW PRO REL PRO EXT QUE	Hast du mit ihr geschlafen ?
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Ich liebe Hunde .
PRON VERB ADV PUNCT	PRO ENS NOW NIL	Er studiert gerade .
PRON VERB DET NOUN PUNCT	PRO ENS DEF CON NIL	Wir schließen den Laden .
ADV AUX DET NOUN PUNCT	QUE ENS HAS CON QUE	Wo ist deine Jacke ?
PRON VERB PUNCT DET ADJ NOUN AUX VERB PUNCT	PRO ENS NIL HAS IST CON NOW IST NIL	Ich glaube , mein rechter Arm ist gebrochen .
PRON AUX PART ADV SCONJ PRON PUNCT	PRO NOW NOT MOR REL PRO NIL	Er ist nicht reicher als ich .
PROPN AUX DET NOUN VERB PUNCT	PER NOW DEF CON EXT NIL	Tom hat die Suppe aufgegessen .
PRON AUX NUM PUNCT	PRO NOW QUC NIL	Er ist acht .
PROPN VERB ADP PROPN PUNCT	GPE ENS REL GPE NIL	Illinois grenzt an Missouri .
PROPN VERB DET PROPN PUNCT	ORG EPS DEF ORG NIL	Kanada schlägt die USA .
PRON AUX NOUN VERB PUNCT	PRO POS CON EXS NIL	Er kann Flöte spielen .
PROPN VERB DET NOUN PROPN ADP NUM CCONJ NUM PUNCT	PER EPS DEF GPO PER REL SCO GRP SCO NIL	Steffi~Graf schlug die Spanierin Conchita~Martinez mit 6:3 und 6:1 .
PROPN PUNCT	PER NIL	FRIEDRICH~NIETZSCHE .
PRON AUX DET ADJ NOUN PUNCT	QUE ENS DEF GPO ROL QUE	Wer ist der japanische Premierminister ?
PRON AUX DET ADJ NOUN VERB PUNCT	PRO NOW DIS IST CON EXT NIL	Er hat ein reiches Mädchen geheiratet .
DET NOUN VERB DET NOUN PUNCT	DEF CON EPS DIS CON NIL	Die Schlange verschlang einen Frosch .
PROPN VERB DET NOUN ADP PUNCT	PER EPS DEF CON REL NIL	Tom schaltete den Fernseher aus .
PROPN VERB ADP PROPN PUNCT	PER ENS REL GPE NIL	Maria wohnt in Kairo .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom schreibt ein Buch .
DET NOUN AUX ADP NOUN ADV AUX PUNCT	DEF CON FUT REL CLO IST NIL NIL	Das Abendessen wird um 18:30~Uhr fertig sein .
PRON VERB ADV NUM NOUN PUNCT	PRO ENS AND QUC UOM NIL	Ich laufe täglich zehn Kilometer .
PRON AUX NOUN PUNCT	PRO ENS CON NIL	Ich mag Pferde .
PRON VERB PRON ADP PRON PUNCT	PRO ENS NOT REL PRO NIL	Er kennt keinen von uns .
DET NOUN AUX ADV ADP PRON PUNCT	PRX CON NOW MOR REL DST NIL	Dieses Armband ist teurer als jenes .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Er ist stockbetrunken .
PRON AUX ADP DET ADJ NOUN VERB PUNCT	PRO NOW REL DIS IST CON IST NIL	Er ist mit einem neuen Roman beschäftigt .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Das Schaf blökt .
DET NOUN AUX ADV PUNCT	DEF CON NOW IST NIL	Die Antwort ist offensichtlich .
PRON AUX ADV ADP PRON PUNCT	PRO NOW MOR REL PRO NIL	Sie ist stärker als ich .
PRON AUX PRON VERB PUNCT	PRO NOW DIS EXT NIL	Ich habe jemanden gefunden .
PROPN AUX DET ADJ NOUN VERB PUNCT	PER NOW DIS IST CON EXT NIL	Tom hat einen gefälschten Ausweis benutzt .
DET NOUN VERB PRON PUNCT	QUE CON ENS PRO QUE	Welche Instrumente spielst du ?
PRON VERB PRON NUM NOUN PUNCT	PRO ENS PRO QUC UOM NIL	Ich schulde ihr hunderttausend Yen .
PRON VERB DET ADJ NOUN PUNCT	PRO ENS HAS IST CON NIL	Ich verabscheue deine zynischen Bemerkungen .
PRON AUX DET NOUN VERB PUNCT	QUE FUT DEF CON EXS QUE	Wer wird die Goldmedaille holen ?
NUM CCONJ NUM VERB X PUNCT	QUC CON QUC EXS QUC NIL	Vier und achtzehn macht zweiundzwanzig .
DET NOUN VERB DET NOUN PUNCT	DEF ROL EPS DEF CON NIL	Der Priester segnete die Gemeinde .
PRON AUX ADV ADV ADP PRON PUNCT	PRO NOW EQU IST REL PRO NIL	Sie ist so intelligent wie er .
NOUN AUX ADV ADP PROPN PUNCT	CON NOW IST REL GPE NIL	Prostitution ist legal in Deutschland .
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Ich lerne Farsi .
PRON AUX PRON ADV PUNCT	PRO ENS PRO IST NIL	Ich mag ihn irgendwie .
PROPN VERB PROPN PUNCT	ORG EPS ORG NIL	Italien schlägt Kasachstan .
NOUN AUX ADP PROPN VERB PUNCT	PER PST REL GPE EXS NIL	Vladislav~Listyev wurde in Moskau ermordet .
PRON AUX NUM NOUN ADV PUNCT	PRO NOW QUC UOM DEG NIL	Sie ist einunddreißig Jahre alt .
PROPN VERB DET NOUN PUNCT	PER ENS NOT CON NIL	Tom hat keine Kreditkarte .
NOUN	PER	Gabi~Bauer
PROPN CCONJ PROPN VERB NOUN PUNCT	PER GRP PER EPS CON NIL	Tom und Maria spielten Dame .
DET NOUN VERB DET NOUN ADP DET NOUN PUNCT	DEF CON EPS HAS CON REL DEF CON NIL	Der Junge schnitzte seinen Namen in den Baum .
DET NOUN AUX ADP NOUN VERB PUNCT	DEF ROL PST DEF CON EXS NIL	Die Verletzten wurden vom Unfallort wegtransportiert .
PRON VERB DET NOUN PUNCT	NOT ENS DEF CON NIL	Niemand liebt den Krieg .
DET NOUN AUX ADP NOUN PUNCT	PRX CON NOW IST CON NIL	Dieses Haus ist voller Spinnweben .
PROPN PUNCT PROPN CCONJ PROPN VERB ADP DET NOUN NOUN PUNCT	PER REL PER GRP PER EPS REL DEF CON CON NIL	Tom , Maria und Johannes spielten auf dem Schulhof Fangen .
PROPN CCONJ PROPN VERB NOUN PUNCT	PER GRP PER ENS CON NIL	Tom und Maria spielen Pfeilewerfen .
PROPN NOUN AUX VERB PUNCT	PER CON PST EXS NIL	Toms Wunsch wurde erfüllt .
PRON AUX NUM NOUN ADV ADP PRON PUNCT	PRO NOW QUC UOM MOR REL PRO NIL	Ich bin vier Jahre jünger als er .
PRON AUX DET ADJ NOUN PUNCT	NOT ENS NOT IST ROL NIL	Niemand mag un höfliche Verkäufer .
DET NOUN AUX ADV PUNCT	DEF CON PST IST NIL	Der Junge war müde .
NOUN AUX ADP NOUN VERB PUNCT	PER PST DEF ROL EXS NIL	Karl~der~Große wurde vom Papst gekrönt .
PRON VERB DET NOUN ADV ADP PRON PUNCT	PRO EPS QUC UOM DEG REL PRO NIL	Ich redete eine Stunde lang mit ihr .
PRON AUX ADV DET NOUN PUNCT CCONJ PUNCT	DST ENS EMP HAS CON NIL QUE QUE	Das ist doch deine Handschrift , oder ?
PROPN VERB ADV DET NOUN ADV PUNCT	PER ENS AND DEF CON REL NIL	Tom kommandiert immer die Leute herum .
PROPN VERB ADV PUNCT	PER EPS IST NIL	Kim lächelte süß .
PROPN AUX ADV PUNCT	PER NOW IST NIL	Tom ist überglücklich .
PRON AUX NUM NOUN ADV PUNCT	PRO NOW QUC UOM DEG NIL	Er ist achtzehn Monate alt .
PRON AUX PRON VERB PUNCT	AND NOW PRO EXT NIL	Jeder hat es gesehen .
PRON VERB ADV NOUN PUNCT	PRO ENS NOW CON NIL	Ich spiele gerade Volleyball .
PRON VERB ADV NOUN PUNCT	PRO NOW AND IST NIL	Wir haben immer Hunger .
NOUN VERB DET PUNCT NOUN PUNCT PUNCT	PER EPS DEF NIL ART NIL NIL	"Lin~Biao schrieb das "" kleine~rote~Buch "" ."
DET NOUN AUX ADV PUNCT	HAS ROL NOW IST NIL	Meine Schwester ist berühmt .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Ich bin verheiratet .
PRON AUX DET NOUN VERB PUNCT	PRO NEC DEF CON EXS NIL	Wir sollten die Todesstrafe abschaffen .
DET NOUN AUX ADP NOUN PUNCT	DEF CON PST IST CON NIL	Das Zimmer war voller Leute .
DET NOUN AUX ADP PUNCT	DEF CON NOW IST NIL	Die Tür ist zu .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom benutzt eine Lötlampe .
NOUN AUX DET NOUN ADV VERB PUNCT	PER NOW DEF CON QUC EXT NIL	Betty hat den Berg dreimal bestiegen .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Ich unterschrieb das Dokument .
PRON AUX PART ADV ADP DET ADJ NOUN PUNCT	PRO PST NOT IST REL HAS IST CON NIL	Ich war nicht erfreut über dein unverschämtes Verhalten .
PRON AUX ADP DET ADJ NOUN VERB PUNCT	PRO PST REL DEF IST ROL EXS NIL	Er wurde für den verletzten Spieler eingewechselt .
DET PUNCT NOUN PUNCT AUX ADP DET NOUN VERB PUNCT	DEF NIL ART NIL NOW REL DEF NTH EXT NIL	Das „ Neugier-Marsfahrzeug “ ist auf dem Mars gelandet .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF ROL REL DEF CON NIL	Sie banden den Dieb an den Baum .
PRON VERB DET NOUN PROPN PUNCT	PRO EPS DEF CON LIT NIL	Sie tauften den Hund Shiro .
PRON AUX DET NOUN PUNCT	PRO ENS DIS ROL NIL	Er ist ein Baseballspieler .
PRON VERB ADV NOUN PUNCT	PRO ENS AND CON NIL	Sie kauft immer Milch .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS IST ROL NIL	Donald~Trump ist ein berühmter Geschäftsmann .
PROPN PROPN ADP DET NOUN PROPN PUNCT	PER EPS REL DIS CON CON NIL	Tom trank mit einem Strohhalm Schokoladenmilch .
DET ADJ NOUN VERB DET NOUN PUNCT	DEF DEG CON EPS DIS CON NIL	Das große Schiff rammte ein Fischerboot .
DET NOUN AUX NUM NOUN ADV PUNCT	DEF CON NOW QUC UOM DEG NIL	Der Teich ist drei Meter tief .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	Das Fleisch ist gefroren .
AUX PRON DET NOUN VERB PUNCT	POS PRO DIS CON EXS QUE	Darf ich eine Dose aufmachen ?
DET ADJ NOUN AUX ADP DET NOUN VERB PUNCT	DEF IST CON PST REL DIS CON EXS NIL	Die arme Katze wurde von einem Lkw überfahren .
DET ADJ NOUN VERB DET NOUN ADJ NOUN PUNCT	DEF DEG CON EPS DEF CON CON LIT NIL	Der alte Mann nannte die Holz puppe Pinocchio .
PRON VERB ADP NOUN PUNCT	PRO EPS REL CON NIL	Sie litt an Bulimie .
AUX PROPN VERB PUNCT	PST PER EXS QUE	Wurde Tom entlassen ?
PROPN VERB DET ADJ NOUN PUNCT	PER EPS DIS COL CON NIL	Tom trug einen dunkelblauen Anzug .
PROPN AUX ADP PROPN VERB PUNCT	PER NOW REL PER EXS NIL	Tom ist mit Ruth verlobt .
PROPN VERB ADP PRON ADP PUNCT	PER EPS REL GPE REL NIL	Jack~Nicholson wuchs in New~Jersey auf .
PROPN VERB PROPN DET NOUN PUNCT	PER EPS PER DIS CON NIL	Tom gab Maria einen Pullover .
PRON AUX PRON ADP PRON VERB PUNCT	DIS NOW PRO REL PRO EXT NIL	Jemand hat das für dich dagelassen .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	Du schmeichelst mir .
PRON VERB DET NOUN PUNCT	PRO ENS DEF CON NIL	Wir scheren die Schafe .
NOUN VERB ADP DET NOUN PUNCT	PER ENS REL DEF GPE NIL	Saddam~Hussein flieht in die Vereinigten~Staaten .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS ROL EXT NIL	Er hat eine Stewardess geheiratet .
NOUN VERB DET NOUN NOUN PUNCT	PER ENS DIS QUC CON NIL	Marie braucht ein Dutzend Eier .
PRON VERB ADP DET NOUN PUNCT	DIS ENS REL DEF CON NIL	Jemand klopft an der Tür .
DET NOUN AUX DET NOUN PUNCT	AND CON ENS DIS CON NIL	Die Gans ist ein Wasservogel .
PRON AUX ADP NOUN VERB PUNCT	PRO PST REL CON EXS NIL	Sie wurden per Hubschrauber gerettet .
PRON VERB ADV NUM NOUN PUNCT	PRO ENS APX QUC UOM NIL	Er wiegt ungefähr 300 Pfund .
DET NOUN AUX VERB PUNCT	DEF ROL PST EXS NIL	Der Mörder wurde hingerichtet .
PRON AUX DET ADJ NOUN PUNCT	PRO ENS DIS IST ROL NIL	Er ist ein schlechter Autofahrer .
AUX NOUN ADV PUNCT	NOW CON IST QUE	Sind Wespen giftig ?
